"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","California!!Estimate","California!!Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New York!!Estimate","New York!!Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Washington!!Estimate","Washington!!Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error"
"Total:","2,051,545","±10,192","276,852","±3,294","2,907,014","±12,227","1,232,871","±8,404","13,699,816","±20,966","2,428,261","±9,051","1,442,969","±7,955","412,048","±3,896","334,673","±3,520","8,966,402","±20,449","4,150,138","±14,424","493,898","±5,757","733,244","±4,856","5,071,288","±14,337","2,754,881","±9,894","1,337,243","±6,646","1,188,340","±5,857","1,853,603","±7,950","1,833,915","±8,374","616,085","±5,376","2,384,715","±7,944","2,800,984","±8,760","4,107,809","±11,889","2,344,432","±8,041","1,166,617","±7,610","2,556,271","±10,804","472,867","±4,532","813,864","±4,244","1,224,685","±6,784","569,493","±5,108","3,538,457","±8,891","856,580","±6,374","7,809,267","±17,008","4,392,669","±15,675","338,059","±3,608","4,917,309","±10,812","1,589,105","±5,726","1,752,050","±6,896","5,324,209","±13,443","443,980","±4,732","2,177,733","±10,033","378,559","±3,320","2,889,226","±12,211","11,260,645","±19,354","1,167,591","±5,333","279,612","±3,564","3,402,670","±10,363","3,101,265","±10,961","743,644","±5,944","2,495,539","±8,832","247,368","±3,204","1,277,486","±11,386"
"    With an Internet subscription","1,836,939","±11,392","258,053","±3,440","2,687,560","±14,661","1,090,713","±10,712","12,920,016","±25,780","2,297,209","±10,676","1,338,464","±10,211","382,539","±5,034","308,346","±4,934","8,338,803","±23,602","3,838,286","±16,258","457,988","±6,266","681,371","±5,944","4,654,130","±17,677","2,505,547","±13,240","1,205,650","±9,125","1,089,877","±7,158","1,671,290","±10,152","1,615,277","±11,966","567,015","±6,515","2,218,105","±10,039","2,631,412","±11,475","3,766,644","±13,400","2,165,586","±9,911","1,010,809","±11,547","2,324,525","±14,269","431,340","±5,280","750,543","±5,434","1,152,301","±7,727","535,961","±5,915","3,331,415","±12,369","760,571","±7,652","7,195,198","±21,259","4,027,465","±18,343","301,325","±4,397","4,489,841","±15,457","1,434,558","±7,267","1,636,615","±8,748","4,856,127","±15,163","412,542","±5,872","1,981,364","±11,199","347,797","±3,639","2,632,602","±13,467","10,424,014","±26,786","1,100,169","±6,773","258,191","±4,045","3,138,264","±12,924","2,923,399","±12,518","647,522","±7,378","2,291,491","±10,035","224,631","±4,124","1,095,491","±12,819"
"        Dial-up with no other type of Internet subscription","1,841","±721","404","±279","3,828","±923","1,095","±403","14,870","±2,389","2,669","±840","2,782","±870","244","±178","0","±244","7,732","±1,489","4,770","±1,176","557","±468","829","±582","6,465","±1,468","3,908","±856","3,039","±691","1,031","±434","2,082","±604","1,240","±496","1,326","±353","2,389","±929","1,850","±682","5,133","±919","4,780","±884","1,286","±591","4,918","±1,333","1,396","±509","1,208","±537","2,192","±871","1,440","±625","3,611","±891","1,603","±580","10,560","±1,829","6,828","±1,571","378","±266","6,697","±1,249","1,570","±494","1,920","±530","9,937","±1,142","264","±268","3,410","±943","457","±279","2,384","±732","9,821","±1,894","909","±435","874","±309","3,224","±725","3,632","±852","1,831","±600","5,443","±790","744","±442","2,914","±927"
"        Broadband of any type","1,835,098","±11,500","257,649","±3,493","2,683,732","±14,891","1,089,618","±10,785","12,905,146","±25,781","2,294,540","±10,737","1,335,682","±10,301","382,295","±5,040","308,346","±4,934","8,331,071","±23,796","3,833,516","±16,399","457,431","±6,262","680,542","±5,923","4,647,665","±17,664","2,501,639","±13,154","1,202,611","±9,303","1,088,846","±7,203","1,669,208","±10,128","1,614,037","±11,980","565,689","±6,465","2,215,716","±9,951","2,629,562","±11,463","3,761,511","±13,612","2,160,806","±9,981","1,009,523","±11,560","2,319,607","±14,203","429,944","±5,375","749,335","±5,439","1,150,109","±7,766","534,521","±6,000","3,327,804","±12,313","758,968","±7,680","7,184,638","±21,409","4,020,637","±18,614","300,947","±4,405","4,483,144","±15,599","1,432,988","±7,227","1,634,695","±8,811","4,846,190","±14,921","412,278","±5,844","1,977,954","±11,260","347,340","±3,661","2,630,218","±13,576","10,414,193","±26,972","1,099,260","±6,719","257,317","±4,018","3,135,040","±12,845","2,919,767","±12,577","645,691","±7,331","2,286,048","±9,868","223,887","±4,163","1,092,577","±12,872"
"        Cellular data plan","1,710,505","±12,609","244,367","±3,863","2,509,086","±16,900","1,028,337","±10,113","12,332,514","±28,315","2,175,041","±12,023","1,252,903","±11,682","352,182","±5,420","293,647","±5,116","7,876,314","±23,838","3,638,140","±17,055","433,993","±6,816","640,570","±6,505","4,404,624","±20,248","2,355,543","±13,217","1,131,800","±9,663","1,015,467","±7,894","1,571,815","±10,871","1,533,958","±12,455","519,970","±6,827","2,098,767","±10,510","2,486,929","±14,333","3,537,478","±14,490","2,038,819","±9,941","948,554","±12,014","2,188,658","±14,625","394,264","±5,482","695,442","±6,719","1,084,473","±7,686","494,631","±6,135","3,161,176","±13,419","687,209","±7,874","6,734,999","±22,525","3,789,983","±20,419","282,399","±4,674","4,176,376","±16,110","1,347,525","±7,515","1,536,869","±9,687","4,508,797","±17,306","386,518","±6,060","1,867,231","±11,799","318,866","±4,184","2,429,684","±15,081","9,846,534","±29,319","1,057,806","±7,455","228,637","±3,946","2,970,801","±12,978","2,749,793","±15,729","579,003","±8,141","2,136,361","±10,070","202,734","±4,490","1,021,296","±13,877"
"            Cellular data plan with no other type of Internet subscription","286,223","±11,516","45,320","±3,306","341,174","±12,158","178,429","±6,660","1,531,452","±23,481","225,501","±8,023","158,922","±7,082","43,239","±3,404","36,374","±3,846","1,025,162","±19,339","454,446","±13,310","51,611","±3,326","79,172","±4,862","660,007","±15,953","383,028","±11,618","166,980","±5,774","142,564","±5,506","240,655","±9,048","281,010","±9,444","62,090","±3,562","255,539","±8,153","293,968","±10,126","553,376","±11,849","254,222","±8,221","186,032","±7,445","336,091","±9,413","56,770","±3,756","95,680","±4,626","159,788","±5,467","50,589","±3,720","408,700","±10,714","110,136","±4,887","985,570","±19,322","476,662","±12,645","32,665","±2,890","541,338","±11,455","245,095","±7,063","186,816","±7,984","634,973","±12,178","56,349","±4,974","284,007","±9,957","39,720","±3,197","345,386","±9,521","1,420,353","±22,311","103,199","±4,809","23,862","±2,266","390,419","±11,326","315,009","±9,466","93,275","±4,317","282,999","±7,244","29,535","±3,019","310,776","±10,594"
"        Broadband such as cable, fiber optic or DSL","1,445,642","±12,670","195,418","±4,547","2,204,394","±17,965","849,404","±11,744","10,834,881","±28,464","1,959,093","±12,666","1,149,821","±10,981","326,531","±5,644","266,601","±5,771","6,992,398","±32,872","3,209,172","±19,781","394,919","±6,232","535,884","±7,248","3,774,734","±20,125","1,985,236","±16,678","968,133","±10,036","889,688","±9,492","1,350,578","±13,599","1,250,424","±15,340","475,164","±7,389","1,888,758","±12,413","2,292,980","±14,660","3,022,424","±16,875","1,805,609","±12,198","763,465","±13,351","1,840,602","±14,825","330,052","±5,731","613,572","±6,687","941,493","±9,075","472,033","±5,528","2,850,236","±14,368","598,392","±8,482","6,036,262","±27,298","3,388,651","±20,861","260,130","±4,640","3,758,629","±20,829","1,097,158","±9,398","1,360,053","±11,531","4,057,869","±19,548","347,958","±6,644","1,619,834","±14,600","293,196","±4,549","2,176,433","±15,044","8,480,218","±32,735","948,300","±8,104","217,191","±4,392","2,610,625","±16,343","2,475,804","±16,098","515,778","±6,989","1,872,908","±11,588","172,221","±4,650","685,954","±11,913"
"            Broadband such as cable, fiber optic or DSL with no other type of Internet subscription","107,045","±5,445","10,350","±1,941","149,888","±7,174","51,131","±3,885","476,773","±11,678","100,765","±5,422","77,423","±4,936","28,339","±3,423","13,763","±2,934","400,965","±12,250","169,438","±7,659","21,203","±2,281","31,800","±2,842","211,721","±7,858","127,416","±5,332","61,030","±3,401","64,471","±3,800","84,394","±4,164","69,529","±4,671","41,352","±3,282","104,886","±5,612","134,427","±6,996","191,692","±6,989","107,164","±4,153","47,451","±4,581","109,589","±5,253","28,857","±2,791","47,770","±3,444","56,955","±4,057","36,433","±2,754","153,464","±7,156","56,977","±3,881","409,242","±10,889","198,785","±7,425","17,390","±1,692","275,965","±10,936","68,561","±3,288","83,613","±5,119","306,115","±9,201","24,587","±3,031","98,835","±5,658","25,493","±2,305","182,638","±8,060","484,620","±12,811","35,519","±2,520","24,399","±2,005","142,548","±5,907","144,924","±8,285","56,809","±3,986","129,198","±4,643","16,937","±2,315","59,321","±4,335"
"        Satellite Internet service","175,118","±6,561","22,876","±1,852","228,636","±9,100","88,369","±4,917","1,117,278","±17,371","179,392","±6,794","49,239","±4,072","19,544","±2,439","12,663","±2,367","540,541","±14,698","279,943","±9,616","25,639","±3,127","84,629","±4,478","343,463","±11,038","188,481","±7,664","98,040","±5,038","78,906","±4,188","118,424","±5,721","140,695","±6,383","33,748","±2,772","114,459","±5,576","89,775","±5,628","249,797","±7,154","142,190","±5,638","103,838","±5,012","203,698","±7,293","51,856","±3,229","58,670","±3,995","100,760","±5,603","20,454","±2,372","143,292","±6,370","81,769","±5,081","335,999","±10,033","270,787","±8,645","16,349","±1,837","271,838","±9,660","127,261","±4,371","120,765","±6,403","245,756","±9,033","14,196","±2,601","141,233","±6,782","22,936","±2,397","175,362","±7,504","919,063","±18,295","84,591","±5,076","18,807","±1,703","233,403","±9,323","198,422","±7,036","50,462","±3,268","167,404","±4,643","27,832","±2,618","96,160","±5,571"
"            Satellite Internet service with no other type of Internet subscription","9,183","±1,467","1,657","±389","15,582","±2,134","6,668","±1,087","47,740","±3,431","12,811","±1,784","2,348","±1,009","1,154","±631","194","±155","24,083","±3,010","10,928","±1,778","855","±622","6,069","±1,128","16,747","±2,202","10,860","±1,755","5,238","±1,034","4,086","±926","7,872","±1,430","6,104","±1,266","2,153","±460","5,052","±1,281","1,963","±812","17,950","±1,901","7,649","±967","5,861","±1,099","12,634","±1,544","4,900","±823","2,941","±594","3,727","±904","1,769","±668","6,115","±1,600","7,725","±1,392","14,654","±1,825","16,739","±2,077","191","±107","16,760","±2,286","10,055","±1,329","8,272","±1,473","15,596","±2,119","209","±150","7,013","±1,348","1,153","±551","9,637","±1,705","46,633","±3,268","2,646","±777","2,580","±609","12,873","±1,897","15,208","±1,938","6,450","±1,290","11,629","±1,445","3,049","±961","9,575","±1,691"
