"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","California!!Estimate","California!!Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New York!!Estimate","New York!!Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Washington!!Estimate","Washington!!Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error"
"Total:","1,888,504","±5,749","255,173","±1,326","2,643,430","±6,290","1,170,544","±4,411","13,103,114","±18,542","2,137,402","±4,703","1,385,437","±3,268","370,953","±1,823","288,307","±1,319","7,931,313","±23,200","3,830,264","±8,096","467,932","±1,883","649,299","±2,233","4,884,061","±8,585","2,602,770","±6,793","1,273,941","±4,037","1,141,985","±4,096","1,748,053","±5,379","1,751,956","±5,502","569,551","±2,285","2,230,527","±4,131","2,646,980","±4,188","3,980,408","±8,401","2,207,988","±5,616","1,116,649","±4,463","2,440,212","±6,698","436,048","±1,975","766,663","±2,410","1,130,011","±2,777","539,116","±1,981","3,272,054","±6,029","792,755","±2,457","7,417,224","±12,559","4,031,592","±8,480","320,873","±1,737","4,717,226","±9,371","1,493,569","±3,009","1,642,579","±3,451","5,106,601","±8,064","414,730","±1,881","1,961,481","±5,748","347,878","±1,737","2,639,455","±6,788","9,906,070","±18,881","1,003,345","±2,384","262,852","±1,220","3,184,121","±7,450","2,905,822","±5,585","734,235","±2,810","2,377,935","±5,709","233,231","±1,535","1,205,749","±3,649"
"    With an Internet subscription","1,516,816","±7,645","223,644","±1,573","2,296,123","±8,103","904,327","±6,513","11,677,634","±26,040","1,922,418","±5,332","1,213,487","±4,629","325,137","±2,312","247,123","±1,920","6,794,361","±29,508","3,240,391","±13,221","408,711","±2,284","561,316","±3,130","4,182,672","±12,052","2,173,566","±9,513","1,064,955","±4,945","968,227","±5,302","1,432,259","±6,790","1,388,788","±7,198","484,064","±2,873","1,979,676","±5,127","2,341,159","±6,659","3,371,760","±10,955","1,931,066","±5,887","849,925","±5,756","2,037,219","±9,545","366,314","±2,622","659,433","±3,031","968,942","±4,586","480,851","±2,508","2,884,202","±8,520","620,675","±3,966","6,340,640","±18,172","3,374,563","±13,082","267,270","±1,973","4,003,564","±12,288","1,223,957","±3,831","1,452,727","±4,904","4,313,011","±10,220","359,855","±2,125","1,597,757","±7,917","290,845","±2,142","2,157,504","±11,169","8,446,082","±27,885","898,996","±3,694","220,021","±1,826","2,749,042","±10,535","2,626,064","±7,599","581,748","±3,586","2,025,923","±7,160","201,133","±1,917","789,532","±4,259"
"        Dial-up with no other type of Internet subscription","7,610","±904","806","±169","7,925","±652","3,476","±350","26,795","±1,091","6,310","±443","4,055","±471","943","±232","276","±120","18,605","±1,164","6,994","±678","1,178","±218","3,037","±329","13,936","±824","9,331","±687","6,715","±464","3,355","±293","5,195","±495","3,694","±662","3,721","±358","4,980","±591","5,519","±407","12,764","±717","9,542","±543","3,124","±455","7,951","±666","3,135","±364","3,427","±318","2,554","±340","2,022","±270","7,612","±639","3,427","±435","19,665","±1,151","10,300","±706","772","±140","15,151","±867","3,794","±380","6,377","±619","21,968","±922","863","±223","4,449","±338","1,254","±200","5,768","±522","17,450","±1,160","2,821","±344","1,950","±283","9,022","±636","8,175","±798","2,608","±286","12,012","±564","771","±181","14,370","±903"
"        Broadband of any type","1,509,206","±7,651","222,838","±1,584","2,288,198","±8,113","900,851","±6,456","11,650,839","±25,837","1,916,108","±5,283","1,209,432","±4,633","324,194","±2,339","246,847","±1,910","6,775,756","±29,396","3,233,397","±13,132","407,533","±2,245","558,279","±3,150","4,168,736","±11,963","2,164,235","±9,525","1,058,240","±4,835","964,872","±5,241","1,427,064","±6,775","1,385,094","±7,047","480,343","±2,851","1,974,696","±5,173","2,335,640","±6,637","3,358,996","±10,885","1,921,524","±5,796","846,801","±5,772","2,029,268","±9,538","363,179","±2,644","656,006","±3,061","966,388","±4,608","478,829","±2,480","2,876,590","±8,385","617,248","±3,964","6,320,975","±18,024","3,364,263","±13,077","266,498","±1,954","3,988,413","±12,131","1,220,163","±3,837","1,446,350","±4,963","4,291,043","±10,166","358,992","±2,146","1,593,308","±7,921","289,591","±2,116","2,151,736","±11,152","8,428,632","±27,886","896,175","±3,699","218,071","±1,838","2,740,020","±10,434","2,617,889","±7,550","579,140","±3,586","2,013,911","±7,159","200,362","±1,920","775,162","±4,184"
"        Cellular data plan","1,342,517","±8,406","199,983","±1,837","2,008,209","±9,166","794,813","±7,059","10,580,449","±29,100","1,715,494","±6,300","1,048,905","±5,315","286,901","±2,563","229,260","±2,114","5,965,727","±31,636","2,897,909","±15,491","366,744","±2,697","492,141","±3,526","3,716,059","±14,402","1,902,364","±11,356","930,275","±5,194","854,045","±5,524","1,246,489","±7,676","1,227,723","±7,809","397,345","±2,875","1,783,126","±5,692","2,070,177","±7,411","2,927,692","±11,735","1,709,678","±6,228","758,328","±6,183","1,811,328","±10,128","307,296","±2,648","578,991","±3,168","861,041","±5,100","407,763","±2,490","2,599,581","±9,186","525,380","±4,301","5,489,525","±20,859","2,928,423","±14,952","234,221","±2,062","3,472,085","±13,086","1,087,195","±4,742","1,290,106","±5,412","3,736,917","±10,155","319,832","±2,445","1,409,669","±8,455","242,490","±2,559","1,894,687","±11,790","7,630,828","±32,055","807,545","±4,433","166,836","±2,201","2,465,746","±10,663","2,365,339","±7,608","461,933","±4,419","1,766,213","±6,899","162,725","±2,142","691,288","±4,175"
"            Cellular data plan with no other type of Internet subscription","295,520","±3,520","38,375","±1,637","295,301","±4,690","193,418","±3,280","1,318,794","±10,625","191,036","±3,492","119,130","±3,026","35,260","±1,820","23,161","±1,360","831,109","±8,027","432,550","±5,086","43,742","±1,360","73,684","±2,239","547,351","±6,438","326,847","±3,852","157,508","±3,004","128,967","±2,350","223,270","±3,602","241,783","±3,827","46,395","±1,673","215,860","±3,851","215,158","±3,748","488,132","±4,967","228,125","±3,460","212,536","±3,262","320,113","±4,168","47,197","±1,774","82,222","±1,842","119,200","±2,631","36,717","±1,602","286,562","±4,198","96,938","±2,148","730,009","±7,243","416,094","±5,013","29,083","±1,281","492,944","±5,488","243,304","±3,271","164,690","±3,538","495,743","±5,678","41,449","±1,894","240,037","±4,169","34,037","±1,308","346,059","±5,100","1,353,312","±9,812","88,068","±2,305","19,161","±920","346,202","±4,319","256,881","±5,040","73,959","±2,149","262,805","±3,180","24,731","±1,097","297,296","±3,151"
"        Broadband such as cable, fiber optic or DSL","1,117,136","±8,164","174,089","±1,999","1,871,647","±8,451","635,030","±6,237","9,856,173","±26,700","1,629,511","±6,390","1,067,492","±5,397","279,698","±2,749","218,564","±2,343","5,717,530","±29,971","2,655,576","±13,248","354,762","±2,507","433,811","±3,965","3,434,646","±13,631","1,705,266","±9,388","833,631","±5,394","781,878","±5,266","1,126,863","±7,571","1,058,500","±7,754","413,359","±3,376","1,706,868","±5,875","2,082,482","±7,707","2,685,568","±10,430","1,597,541","±6,257","559,158","±5,264","1,566,971","±9,808","285,603","±2,728","537,154","±3,481","811,265","±5,176","430,625","±3,134","2,538,875","±9,259","475,555","±4,452","5,442,724","±18,116","2,808,735","±13,204","229,233","±2,294","3,321,098","±12,818","878,462","±4,077","1,202,538","±6,381","3,670,382","±12,022","311,010","±2,275","1,276,399","±7,922","241,596","±2,344","1,695,507","±11,555","6,620,962","±29,474","754,886","±4,730","187,147","±1,893","2,261,509","±10,647","2,257,415","±9,082","471,765","±3,590","1,634,612","±7,838","156,867","±1,867","429,887","±3,722"
"            Broadband such as cable, fiber optic or DSL with no other type of Internet subscription","136,836","±2,705","20,016","±1,008","235,873","±3,798","85,393","±2,553","909,905","±6,923","170,653","±3,182","149,263","±2,889","33,175","±1,442","16,015","±924","716,388","±6,572","287,106","±4,330","37,166","±1,460","51,456","±1,772","387,530","±4,556","223,476","±3,417","108,645","±2,356","94,755","±2,280","156,446","±2,940","134,328","±3,237","74,714","±1,678","174,287","±2,825","247,992","±3,776","369,799","±4,264","183,739","±2,544","66,717","±2,498","177,393","±3,191","46,247","±1,429","67,151","±1,706","94,133","±2,253","65,493","±1,627","256,543","±3,223","70,520","±2,103","753,959","±6,565","380,679","±4,795","29,123","±1,153","455,331","±5,130","101,116","±2,399","130,980","±2,324","499,899","±4,578","36,473","±1,449","154,008","±3,120","42,393","±1,335","222,592","±3,430","661,441","±7,991","73,494","±1,894","45,615","±1,263","234,331","±3,867","218,568","±3,034","100,556","±2,234","212,030","±3,044","31,552","±1,517","72,250","±1,653"
"        Satellite Internet service","157,118","±3,566","14,354","±774","226,481","±5,008","102,745","±2,360","1,049,297","±9,962","168,550","±2,687","49,559","±1,825","15,607","±816","9,635","±837","472,176","±6,675","295,041","±5,118","19,735","±989","73,563","±2,023","337,366","±4,258","198,896","±3,312","102,337","±2,087","81,180","±2,155","121,895","±2,493","149,417","±3,212","26,778","±1,118","103,605","±2,119","73,803","±2,355","266,514","±3,690","150,038","±2,055","116,468","±2,808","211,642","±3,607","39,214","±1,306","53,545","±1,298","85,116","±2,492","17,911","±1,081","127,296","±2,871","70,464","±2,305","292,583","±3,936","252,423","±3,915","17,082","±732","288,305","±4,287","136,769","±2,468","110,397","±2,186","216,703","±3,617","12,743","±923","146,837","±3,283","20,775","±1,051","180,203","±3,390","880,002","±9,524","95,718","±2,384","14,718","±672","194,335","±3,196","167,090","±3,131","47,842","±1,788","165,075","±2,678","24,698","±1,120","66,332","±1,749"
"            Satellite Internet service with no other type of Internet subscription","17,204","±1,120","1,466","±207","25,604","±1,259","13,518","±829","76,304","±2,010","15,813","±858","3,931","±449","1,641","±308","479","±160","38,422","±1,651","23,474","±1,245","1,335","±317","9,930","±709","28,326","±1,192","20,130","±1,080","10,468","±594","8,870","±598","13,474","±967","12,474","±889","3,830","±337","7,406","±597","5,063","±591","34,270","±1,205","13,810","±761","12,828","±969","24,573","±1,078","5,728","±424","5,939","±390","4,707","±439","2,478","±287","6,083","±564","10,590","±825","26,965","±1,086","26,312","±1,267","1,314","±258","31,778","±1,406","17,836","±1,068","14,922","±1,014","21,570","±930","750","±144","16,385","±1,094","2,423","±303","19,354","±1,019","69,680","±2,187","8,395","±606","2,968","±273","22,785","±1,055","17,360","±944","10,529","±762","18,768","±688","4,359","±439","6,708","±495"
