"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","California!!Estimate","California!!Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New York!!Estimate","New York!!Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Washington!!Estimate","Washington!!Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error"
"Total:","2,051,545","±10,192","276,852","±3,294","2,907,014","±12,227","1,232,871","±8,404","13,699,816","±20,966","2,428,261","±9,051","1,442,969","±7,955","412,048","±3,896","334,673","±3,520","8,966,402","±20,449","4,150,138","±14,424","493,898","±5,757","733,244","±4,856","5,071,288","±14,337","2,754,881","±9,894","1,337,243","±6,646","1,188,340","±5,857","1,853,603","±7,950","1,833,915","±8,374","616,085","±5,376","2,384,715","±7,944","2,800,984","±8,760","4,107,809","±11,889","2,344,432","±8,041","1,166,617","±7,610","2,556,271","±10,804","472,867","±4,532","813,864","±4,244","1,224,685","±6,784","569,493","±5,108","3,538,457","±8,891","856,580","±6,374","7,809,267","±17,008","4,392,669","±15,675","338,059","±3,608","4,917,309","±10,812","1,589,105","±5,726","1,752,050","±6,896","5,324,209","±13,443","443,980","±4,732","2,177,733","±10,033","378,559","±3,320","2,889,226","±12,211","11,260,645","±19,354","1,167,591","±5,333","279,612","±3,564","3,402,670","±10,363","3,101,265","±10,961","743,644","±5,944","2,495,539","±8,832","247,368","±3,204","1,277,486","±11,386"
"    Owner occupied:","1,438,756","±11,485","183,575","±3,874","1,967,704","±15,781","816,038","±9,597","7,658,458","±33,301","1,594,191","±13,255","948,121","±9,540","303,131","±4,548","130,934","±4,679","6,103,429","±29,876","2,742,232","±20,684","308,421","±5,896","531,631","±6,519","3,416,749","±19,455","1,940,443","±14,816","959,743","±10,180","792,366","±8,545","1,274,521","±11,687","1,248,223","±13,325","458,444","±7,074","1,619,478","±12,571","1,744,474","±13,760","3,028,591","±16,671","1,687,695","±13,737","829,160","±10,428","1,758,041","±11,479","327,344","±6,009","539,532","±6,047","740,187","±10,490","412,231","±5,649","2,255,452","±14,325","593,413","±7,813","4,221,669","±27,179","2,913,467","±21,691","215,363","±4,411","3,300,279","±18,474","1,034,153","±8,207","1,111,597","±10,456","3,697,771","±19,135","283,990","±5,824","1,577,358","±12,589","262,639","±4,539","1,943,282","±18,380","7,048,369","±34,585","818,033","±8,264","204,730","±4,030","2,307,077","±17,782","1,975,569","±14,196","546,870","±8,268","1,694,748","±13,861","176,197","±4,243","873,896","±9,346"
"        No vehicle available","36,407","±3,419","10,938","±1,138","54,252","±3,894","21,609","±2,251","242,452","±9,367","31,454","±3,042","27,314","±3,010","9,280","±1,678","20,300","±2,442","181,273","±7,625","64,628","±4,204","12,652","±2,152","9,745","±1,791","142,789","±7,473","57,414","±3,698","18,933","±1,961","17,609","±1,978","41,572","±3,150","44,059","±3,858","13,832","±1,831","51,941","±4,014","64,754","±4,576","95,205","±4,718","34,365","±2,546","26,781","±2,524","51,416","±3,655","7,720","±1,478","9,898","±1,546","19,824","±2,462","7,333","±1,209","87,753","±4,935","14,569","±1,979","450,409","±14,124","71,500","±5,078","3,589","±915","103,495","±5,164","28,146","±2,140","23,869","±2,735","175,861","±7,157","9,737","±2,320","45,674","±3,799","5,532","±1,194","49,737","±4,090","161,825","±7,093","16,003","±2,052","4,398","±902","53,392","±4,328","51,793","±3,805","23,967","±2,148","39,225","±2,770","3,754","±1,256","86,272","±4,441"
"        1 vehicle available","338,414","±8,539","44,971","±3,283","558,266","±11,092","201,354","±7,093","1,743,061","±24,141","367,274","±9,915","238,315","±7,771","84,672","±4,745","72,519","±4,314","2,094,826","±24,277","667,730","±12,665","85,503","±3,556","95,722","±4,452","1,036,788","±15,366","471,695","±10,676","224,916","±6,809","164,199","±6,480","315,760","±9,366","376,928","±10,136","129,354","±5,307","441,524","±10,734","519,467","±11,666","875,789","±13,299","406,886","±9,096","204,116","±7,164","439,960","±9,320","62,059","±3,598","106,802","±4,933","198,186","±6,518","98,997","±4,185","617,923","±11,353","156,265","±5,312","1,383,702","±18,465","679,509","±13,009","40,622","±2,921","865,754","±12,958","242,975","±5,906","279,534","±7,818","1,067,508","±17,067","78,769","±4,787","410,703","±11,688","49,049","±3,179","444,839","±10,678","1,632,927","±26,051","144,638","±5,518","57,493","±3,414","538,997","±12,065","449,814","±11,355","160,960","±5,680","407,767","±7,857","35,793","±3,146","314,788","±9,420"
"        2 vehicles available","591,482","±12,068","69,702","±3,645","803,813","±12,515","343,967","±8,907","3,061,909","±26,859","690,992","±12,920","423,239","±10,064","128,908","±5,417","29,745","±2,723","2,566,261","±24,541","1,144,355","±17,632","114,801","±4,349","214,242","±6,358","1,434,705","±17,508","831,203","±13,485","402,760","±7,811","342,736","±7,874","528,461","±10,099","537,965","±11,856","202,827","±5,593","665,291","±12,322","762,271","±10,579","1,322,529","±15,050","768,470","±11,128","331,323","±8,932","749,963","±11,141","129,154","±4,814","229,749","±6,420","307,273","±7,555","181,797","±5,775","989,511","±12,776","230,825","±6,532","1,575,055","±16,286","1,225,840","±16,806","95,958","±3,783","1,422,502","±18,163","434,650","±7,609","469,671","±9,574","1,562,026","±14,711","123,348","±6,335","660,912","±13,192","107,553","±3,652","808,543","±14,454","3,111,488","±34,122","322,661","±9,066","97,954","±3,902","971,584","±13,997","814,119","±12,964","225,252","±7,569","782,094","±9,580","65,395","±3,843","301,148","±8,742"
"        3 vehicles available","310,576","±8,047","39,237","±2,933","353,238","±9,553","167,813","±6,494","1,574,449","±18,885","320,511","±9,568","178,236","±6,328","51,575","±4,333","5,760","±1,277","883,011","±12,696","557,539","±12,244","53,187","±3,760","131,263","±5,227","549,196","±11,469","386,704","±9,324","198,310","±4,772","170,125","±5,210","258,544","±7,680","204,818","±8,603","80,208","±3,257","304,105","±7,464","267,967","±7,386","502,726","±9,692","320,490","±7,295","169,323","±6,743","343,994","±7,644","74,499","±3,546","123,804","±4,654","137,243","±5,750","80,889","±3,991","377,734","±10,324","120,065","±5,299","564,396","±11,599","595,942","±14,931","45,370","±2,559","609,354","±13,857","215,047","±5,960","216,415","±7,186","608,762","±12,087","48,062","±3,964","305,485","±9,725","61,859","±3,630","395,409","±11,317","1,414,799","±18,817","194,876","±7,264","33,049","±2,585","478,267","±10,779","409,042","±10,567","93,023","±4,856","315,259","±6,609","41,997","±3,310","117,799","±5,219"
"        4 vehicles available","109,344","±5,432","12,020","±1,872","132,883","±6,018","54,324","±4,185","668,715","±14,246","122,317","±6,618","56,945","±4,198","18,212","±2,207","2,233","±1,043","277,637","±10,361","217,060","±8,254","24,702","±2,224","50,935","±2,886","185,039","±7,429","130,419","±5,638","74,854","±3,800","63,335","±3,835","88,068","±4,474","61,201","±4,552","23,420","±2,356","106,329","±4,767","90,956","±5,241","160,705","±5,614","108,203","±4,487","70,392","±4,528","121,841","±5,633","32,985","±2,702","43,778","±2,808","53,253","±3,557","28,244","±2,243","129,937","±6,087","47,063","±3,669","176,990","±6,318","227,680","±8,252","17,840","±1,777","210,502","±8,041","76,043","±3,449","78,727","±4,100","194,474","±6,599","17,354","±2,236","107,551","±6,618","23,718","±2,408","163,397","±7,161","516,316","±13,284","88,871","±4,358","8,929","±1,213","177,534","±6,089","161,266","±5,855","29,026","±2,482","102,414","±4,113","19,630","±2,292","39,537","±3,252"
"        5 or more vehicles available","52,533","±3,945","6,707","±1,301","65,252","±4,568","26,971","±2,711","367,872","±9,941","61,643","±3,962","24,072","±2,655","10,484","±1,997","377","±421","100,421","±5,934","90,920","±5,043","17,576","±2,299","29,724","±2,810","68,232","±3,754","63,008","±4,410","39,970","±2,840","34,362","±2,857","42,116","±3,364","23,252","±2,846","8,803","±1,273","50,288","±3,619","39,059","±3,915","71,637","±4,547","49,281","±2,955","27,225","±2,596","50,867","±3,749","20,927","±2,071","25,501","±2,096","24,408","±3,156","14,971","±1,982","52,594","±3,579","24,626","±2,532","71,117","±4,881","112,996","±6,294","11,984","±1,457","88,672","±4,618","37,292","±2,178","43,381","±3,519","89,140","±4,791","6,720","±1,456","47,033","±4,296","14,928","±1,679","81,357","±5,046","211,014","±9,417","50,984","±3,569","2,907","±657","87,303","±4,489","89,535","±4,902","14,642","±1,746","47,989","±2,475","9,628","±1,428","14,352","±2,038"
"    Renter occupied:","612,789","±11,656","93,277","±4,063","939,310","±13,797","416,833","±8,716","6,041,358","±33,816","834,070","±13,276","494,848","±9,280","108,917","±4,817","203,739","±5,012","2,862,973","±25,371","1,407,906","±18,599","185,477","±6,099","201,613","±6,304","1,654,539","±18,958","814,438","±12,940","377,500","±8,256","395,974","±8,005","579,082","±9,566","585,692","±12,761","157,641","±5,392","765,237","±12,851","1,056,510","±13,533","1,079,218","±15,394","656,737","±11,691","337,457","±9,161","798,230","±10,572","145,523","±5,666","274,332","±5,917","484,498","±10,930","157,262","±5,543","1,283,005","±14,984","263,167","±8,606","3,587,598","±29,913","1,479,202","±16,983","122,696","±4,299","1,617,030","±18,167","554,952","±7,443","640,453","±11,149","1,626,438","±15,809","159,990","±5,886","600,375","±11,250","115,920","±4,390","945,944","±16,398","4,212,276","±32,908","349,558","±7,858","74,882","±3,856","1,095,593","±14,067","1,125,696","±14,021","196,774","±7,325","800,791","±12,093","71,171","±3,996","403,590","±10,784"
"        No vehicle available","77,068","±5,318","14,487","±1,612","109,986","±6,308","53,947","±3,947","751,329","±12,981","100,850","±6,518","101,925","±6,024","17,950","±2,877","101,276","±5,686","337,885","±13,880","178,262","±9,263","30,799","±2,574","16,176","±1,971","419,302","±12,881","120,526","±5,594","52,089","±3,850","42,114","±4,378","82,802","±5,106","109,417","±6,222","25,299","±2,999","161,136","±7,772","260,034","±8,971","195,706","±8,834","114,743","±5,992","44,952","±4,374","116,523","±6,358","14,641","±1,948","34,201","±3,010","69,301","±5,221","18,576","±2,479","315,818","±11,019","30,707","±3,157","1,870,343","±24,840","169,132","±8,461","19,706","±2,822","268,004","±10,271","70,139","±4,115","100,715","±5,429","388,348","±11,746","31,328","±3,794","84,950","±6,117","14,528","±1,888","104,071","±7,105","453,514","±16,330","31,465","±3,057","11,463","±1,435","146,795","±7,022","172,010","±7,196","41,476","±3,586","123,285","±6,344","7,078","±1,663","78,946","±5,275"
