"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","California!!Estimate","California!!Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New York!!Estimate","New York!!Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Washington!!Estimate","Washington!!Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error"
"Total:","2,016,448","±11,475","274,574","±3,261","2,850,377","±11,519","1,216,207","±8,435","13,550,586","±19,485","2,384,584","±7,807","1,433,635","±7,120","402,334","±3,985","326,970","±3,481","8,826,394","±23,013","4,092,467","±12,679","494,827","±4,463","717,151","±4,796","5,056,360","±12,532","2,726,489","±11,359","1,330,995","±5,631","1,175,294","±6,195","1,828,680","±8,263","1,816,902","±10,634","605,338","±5,032","2,375,984","±8,175","2,797,776","±8,835","4,089,794","±11,504","2,322,190","±6,929","1,148,340","±8,056","2,521,832","±11,480","464,072","±4,326","803,157","±3,991","1,198,356","±7,074","557,220","±4,834","3,516,978","±9,044","848,218","±4,975","7,774,308","±19,481","4,299,266","±15,150","331,481","±3,670","4,878,206","±13,413","1,573,180","±5,742","1,726,340","±6,662","5,294,065","±14,260","446,688","±3,663","2,136,080","±11,784","368,300","±3,163","2,846,684","±11,934","11,087,708","±20,293","1,129,660","±5,750","277,090","±3,178","3,380,607","±12,353","3,079,953","±10,236","736,341","±6,960","2,491,121","±7,766","243,321","±3,844","1,289,311","±9,077"
"    Owner occupied:","1,416,333","±13,257","181,586","±4,091","1,921,746","±15,923","808,558","±10,147","7,565,502","±31,664","1,584,309","±12,824","949,839","±10,497","298,075","±5,549","134,120","±4,977","5,929,801","±29,626","2,695,885","±19,845","309,687","±5,486","518,837","±6,804","3,392,312","±20,422","1,929,865","±16,320","958,700","±9,767","795,989","±9,446","1,257,737","±10,799","1,229,012","±13,693","448,772","±6,470","1,609,588","±14,592","1,741,555","±15,343","2,991,685","±16,313","1,674,434","±12,756","803,006","±10,585","1,704,800","±14,119","319,421","±4,885","529,723","±6,916","722,684","±9,872","402,656","±5,932","2,272,995","±16,284","601,666","±7,304","4,204,337","±23,084","2,868,467","±20,726","215,896","±4,034","3,285,052","±20,115","1,029,003","±6,390","1,084,786","±10,163","3,658,207","±21,016","282,617","±6,099","1,538,550","±14,799","256,326","±4,473","1,914,030","±15,692","6,926,616","±30,206","804,164","±8,401","204,089","±3,910","2,278,062","±17,119","1,976,259","±14,700","548,389","±7,448","1,696,493","±12,495","176,863","±4,278","869,635","±10,097"
"        No vehicle available","38,015","±3,141","11,554","±1,370","47,113","±3,838","20,540","±2,366","224,893","±8,712","31,598","±3,249","29,011","±3,334","8,171","±1,775","25,381","±2,985","177,429","±7,461","59,140","±4,337","11,432","±1,609","11,191","±2,056","141,901","±6,803","59,730","±3,853","20,001","±2,336","15,244","±1,659","36,827","±2,905","44,384","±3,651","10,163","±1,535","51,594","±4,171","63,335","±4,544","91,334","±4,163","35,837","±2,179","26,761","±3,135","46,101","±3,968","6,125","±1,325","9,489","±1,624","19,994","±1,898","7,286","±1,392","82,814","±5,105","15,563","±2,239","432,714","±12,520","65,659","±3,978","3,651","±916","96,366","±4,347","21,506","±1,950","25,904","±2,525","173,662","±7,585","8,580","±1,803","41,459","±3,945","4,307","±923","43,328","±3,537","155,965","±7,302","13,431","±1,972","5,019","±1,152","59,170","±4,132","44,075","±3,348","22,967","±2,123","38,813","±2,695","3,213","±973","83,863","±4,802"
"        1 vehicle available","338,136","±8,948","39,654","±2,929","547,506","±11,296","196,272","±7,314","1,704,671","±21,387","366,552","±10,947","244,103","±8,073","80,465","±4,456","72,336","±4,227","2,022,923","±20,912","650,781","±12,980","87,168","±3,895","95,131","±4,014","1,008,260","±15,479","466,713","±9,351","217,731","±5,944","169,888","±6,925","312,161","±8,763","373,116","±10,875","128,667","±5,005","432,040","±10,751","501,207","±11,878","863,917","±12,821","394,593","±8,505","194,685","±6,458","421,772","±10,149","64,360","±3,686","108,093","±4,346","191,940","±7,263","101,443","±5,117","646,430","±13,324","161,240","±6,072","1,380,814","±17,212","668,775","±13,500","44,197","±2,882","865,414","±14,567","250,184","±5,510","265,600","±8,382","1,044,518","±14,559","82,049","±4,915","395,320","±10,781","48,665","±3,267","429,213","±11,165","1,579,934","±25,052","138,285","±5,394","58,239","±2,976","531,195","±12,063","461,640","±11,212","159,382","±5,204","417,567","±9,310","34,868","±3,329","315,782","±7,383"
"        2 vehicles available","575,831","±10,191","74,592","±3,688","795,189","±11,364","351,141","±9,174","3,040,342","±25,443","686,384","±11,447","420,846","±8,141","133,590","±5,702","31,199","±2,927","2,511,499","±26,672","1,160,107","±19,155","114,454","±4,652","215,940","±7,406","1,440,205","±15,842","834,792","±13,946","409,847","±8,157","343,169","±7,295","533,295","±10,186","532,573","±11,505","204,264","±6,049","673,405","±11,704","772,300","±13,836","1,308,333","±18,257","761,841","±11,397","332,741","±7,928","729,099","±10,774","126,399","±4,506","231,937","±6,709","306,447","±8,615","182,938","±6,142","990,694","±16,587","231,715","±6,855","1,599,179","±17,082","1,207,874","±18,744","89,419","±3,619","1,431,684","±15,224","446,593","±7,142","457,966","±8,476","1,561,157","±17,007","125,579","±6,052","662,409","±13,720","106,740","±4,005","817,062","±14,114","3,135,928","±29,355","329,298","±8,314","94,795","±3,532","942,997","±14,430","801,418","±12,980","230,181","±6,860","783,106","±10,908","63,076","±3,069","301,060","±7,608"
"        3 vehicles available","301,615","±8,517","36,466","±3,023","345,969","±9,432","157,618","±6,346","1,566,979","±21,129","317,718","±8,076","176,866","±6,498","52,118","±3,336","3,866","±995","866,724","±17,162","538,994","±11,700","56,328","±3,782","121,154","±4,974","557,835","±11,335","371,876","±11,193","197,606","±6,247","170,292","±5,576","246,312","±7,656","197,976","±7,110","73,232","±4,130","306,813","±7,874","272,658","±8,611","496,501","±9,342","324,616","±7,221","158,639","±6,985","335,908","±9,243","71,807","±4,137","114,668","±4,655","133,187","±5,455","74,139","±4,011","374,988","±9,484","122,111","±5,739","550,745","±10,749","603,128","±12,474","49,343","±3,282","594,207","±11,266","205,594","±5,362","214,215","±7,769","600,141","±12,384","44,166","±2,923","300,238","±9,362","59,661","±3,361","400,807","±9,772","1,378,174","±20,285","189,765","±5,774","33,167","±2,497","478,701","±10,589","421,236","±9,503","95,285","±5,146","311,555","±7,017","45,053","±3,065","116,561","±5,239"
"        4 vehicles available","113,846","±5,584","12,520","±1,755","124,877","±6,568","58,710","±4,585","681,864","±14,514","123,968","±6,197","57,501","±4,734","17,510","±2,237","971","±640","258,312","±10,177","198,299","±7,731","25,263","±2,327","49,363","±3,106","178,946","±6,617","135,767","±5,876","74,289","±4,218","64,351","±3,674","91,497","±4,955","61,533","±4,966","22,288","±2,258","101,924","±5,332","96,643","±5,518","161,241","±6,027","107,331","±3,947","61,146","±4,089","120,409","±5,277","31,401","±2,709","43,676","±2,955","49,313","±3,694","25,084","±2,859","133,257","±6,071","45,303","±3,596","177,045","±7,027","221,009","±8,497","18,309","±2,055","205,274","±7,278","69,938","±3,119","79,844","±4,360","194,181","±6,999","16,006","±2,485","97,993","±5,492","24,636","±2,693","150,022","±7,254","481,343","±15,323","86,087","±3,876","9,073","±1,354","175,851","±6,447","159,370","±6,781","28,415","±2,634","101,289","±3,923","20,177","±2,243","36,883","±3,093"
"        5 or more vehicles available","48,890","±4,315","6,800","±1,342","61,092","±4,983","24,277","±2,375","346,753","±11,188","58,089","±4,011","21,512","±2,623","6,221","±1,468","367","±306","92,914","±6,012","88,564","±4,903","15,042","±1,694","26,058","±2,127","65,165","±3,735","60,987","±3,802","39,226","±2,644","33,045","±2,744","37,645","±3,049","19,430","±2,277","10,158","±1,484","43,812","±3,887","35,412","±3,526","70,359","±4,113","50,216","±2,429","29,034","±2,902","51,511","±3,841","19,329","±2,029","21,860","±2,182","21,803","±2,373","11,766","±1,770","44,812","±3,321","25,734","±2,941","63,840","±4,230","102,022","±5,619","10,977","±1,532","92,107","±4,335","35,188","±2,230","41,257","±2,777","84,548","±4,062","6,237","±1,342","41,131","±3,803","12,317","±1,701","73,598","±4,882","195,272","±7,635","47,298","±3,351","3,796","±822","90,148","±4,379","88,520","±5,235","12,159","±1,709","44,163","±2,503","10,476","±1,688","15,486","±2,218"
"    Renter occupied:","600,115","±12,944","92,988","±4,509","928,631","±14,785","407,649","±9,851","5,985,084","±30,154","800,275","±13,394","483,796","±10,300","104,259","±5,025","192,850","±5,369","2,896,593","±28,750","1,396,582","±19,007","185,140","±5,993","198,314","±6,536","1,664,048","±20,309","796,624","±13,608","372,295","±8,581","379,305","±8,740","570,943","±9,797","587,890","±12,148","156,566","±5,297","766,396","±14,384","1,056,221","±15,249","1,098,109","±14,972","647,756","±12,179","345,334","±8,611","817,032","±11,812","144,651","±5,298","273,434","±7,242","475,672","±9,766","154,564","±6,049","1,243,983","±15,443","246,552","±6,377","3,569,971","±26,256","1,430,799","±17,996","115,585","±4,357","1,593,154","±18,431","544,177","±6,746","641,554","±9,485","1,635,858","±18,767","164,071","±6,222","597,530","±13,814","111,974","±4,424","932,654","±15,224","4,161,092","±28,683","325,496","±7,765","73,001","±4,015","1,102,545","±14,968","1,103,694","±13,727","187,952","±6,484","794,628","±10,873","66,458","±3,645","419,676","±9,505"
"        No vehicle available","67,788","±5,304","13,323","±1,861","98,805","±5,831","58,247","±4,862","709,676","±14,158","88,329","±6,099","100,538","±6,336","15,612","±2,064","86,857","±4,468","349,841","±12,694","175,323","±8,863","28,681","±2,596","16,224","±1,993","426,078","±12,819","114,472","±6,067","54,542","±3,414","47,906","±3,549","79,588","±4,774","104,193","±5,636","31,299","±3,465","155,209","±7,180","266,027","±9,951","190,385","±7,350","123,092","±6,359","41,427","±3,937","124,537","±6,271","13,426","±2,031","32,259","±3,044","64,400","±4,548","16,789","±2,590","302,279","±9,866","28,258","±3,432","1,829,684","±24,638","147,226","±6,794","13,812","±1,828","255,109","±9,336","65,555","±3,116","97,825","±5,532","381,415","±10,677","35,296","±3,810","73,652","±4,585","14,123","±1,974","100,598","±6,334","441,705","±15,267","28,335","±2,921","11,602","±1,911","147,519","±6,987","166,786","±6,788","36,169","±3,463","122,208","±5,904","6,813","±1,709","83,008","±5,111"
