"Provider No.","Facility Name","Facility Type","Facility Subtype","Street Address","City","State","ZIP Code","Telephone","No. of Beds","No. of Certified Beds","No. of Medicaid Nursing Beds","No. of Skilled Nursing Beds","No. of ICF/MR Beds","No. of Physicians","No. of Physician Assistants","No. of Nurse Practitioners","No. of Direct Care Personnel","No. of Other Personnel","Employee Count","Federally Funded Health Center Indicator","Rural Health Center Provider Number","Rural Health Clinic Indicator","Facility Type Description"
"010001","SOUTHEAST HEALTH MEDICAL CENTER","Hospital","Short Term","1108 Ross Clark Cir","Dothan","Alabama","36301-3022","334-793-8701","","","","","","79.00","","","","1239.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"010005","MARSHALL MEDICAL CENTERS SOUTH CAMPUS","Hospital","Short Term","2505 US Highway 431","Boaz","Alabama","35957-5908","256-593-8310","","","","","","1.00","","","","347.75","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"010006","NORTH ALABAMA MEDICAL CENTER","Hospital","Short Term","1701 Veterans Dr","Florence","Alabama","35630-4928","256-629-1000","","","","","","30.00","","","","684.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"010007","MIZELL MEMORIAL HOSPITAL","Hospital","Short Term","702 N Main St","Opp","Alabama","36467-1626","334-493-3541","","","","","","1.00","","","","72.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"010008","CRENSHAW COMMUNITY HOSPITAL","Hospital","Short Term","101 Hospital Cir","Luverne","Alabama","36049-7329","334-335-3374","","","","","","0.85","","","","59.08","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"010011","ST VINCENT'S EAST","Hospital","Short Term","50 Medical Park Dr E","Birmingham","Alabama","35235-3401","205-838-3122","","","","","","0.00","","","","530.96","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"010012","DEKALB REGIONAL MEDICAL CENTER","Hospital","Short Term","200 Medical Center Dr SW","Fort Payne","Alabama","35968-3458","256-845-3150","","","","","","4.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"010016","SHELBY BAPTIST MEDICAL CENTER","Hospital","Short Term","1000 1st St N","Alabaster","Alabama","35007-8703","205-620-8100","","","","","","0.00","","","","352.85","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"010018","UAB CALLAHAN EYE HOSPITAL AUTHORITY","Hospital","Short Term","1720 University Blvd","Birmingham","Alabama","35233-1816","205-325-8596","","","","","","0.00","","","","90.95","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"010019","HELEN KELLER MEMORIAL HOSPITAL","Hospital","Short Term","1300 S Montgomery Ave","Sheffield","Alabama","35660-6334","256-386-4556","","","","","","12.82","","","","476.88","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"010021","DALE MEDICAL CENTER","Hospital","Short Term","126 Hospital Ave","Ozark","Alabama","36360-2018","334-774-2601","","","","","","6.00","","","","7.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"010022","FLOYD CHEROKEE MEDICAL CENTER","Hospital","Short Term","400 Northwood Dr","Centre","Alabama","35960-1023","256-927-5531","","","","","","1.00","","","","39.61","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"010023","BAPTIST MEDICAL CENTER SOUTH","Hospital","Short Term","2105 E South Blvd","Montgomery","Alabama","36116-2409","334-288-2100","","","","","","18.80","","","","778.55","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"010024","JACKSON HOSPITAL & CLINIC INC","Hospital","Short Term","1725 Pine St","Montgomery","Alabama","36106-1109","334-293-8000","","","","","","10.00","","","","765.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"010029","EAST ALABAMA MEDICAL CENTER","Hospital","Short Term","2000 Pepperell Pkwy","Opelika","Alabama","36801-5452","334-749-3411","","","","","","7.00","","","","1267.20","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"010033","UNIVERSITY OF ALABAMA HOSPITAL","Hospital","Short Term","619 19th St S","Birmingham","Alabama","35233-1900","205-934-4011","","","","","","773.00","","","","3350.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"010034","COMMUNITY HOSPITAL INC","Hospital","Short Term","805 Friendship Rd","Tallassee","Alabama","36078-1234","334-283-6541","","","","","","8.60","","","","95.50","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"010035","CULLMAN REGIONAL MEDICAL CENTER","Hospital","Short Term","1912 AL Highway 157","Cullman","Alabama","35058","256-737-2000","","","","","","0.00","","","","571.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"010036","ANDALUSIA HEALTH","Hospital","Short Term","849 S Three Notch St","Andalusia","Alabama","36420-5325","334-222-8466","","","","","","0.00","","","","104.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"010039","HUNTSVILLE HOSPITAL","Hospital","Short Term","101 Sivley Rd SW","Huntsville","Alabama","35801-4421","256-265-1000","","","","","","59.00","","","","2622.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"010040","GADSDEN REGIONAL MEDICAL CENTER","Hospital","Short Term","1007 Goodyear Ave","Gadsden","Alabama","35903","256-494-4000","","","","","","1.00","","","","687.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"010044","MARION REGIONAL MEDICAL CENTER","Hospital","Short Term","1256 Military St S","Hamilton","Alabama","35570-5003","205-921-6200","","","","","","1.00","","","","6.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"010045","FAYETTE MEDICAL CENTER","Hospital","Short Term","1653 Temple Ave N","Fayette","Alabama","35555-1314","205-932-5966","","","","","","1.00","","","","233.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"010046","RIVERVIEW REGIONAL MEDICAL CENTER","Hospital","Short Term","600 S 3rd St","Gadsden","Alabama","35901-5304","256-543-5200","","","","","","12.00","","","","329.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"010049","MEDICAL CENTER ENTERPRISE","Hospital","Short Term","400 N Edwards St","Enterprise","Alabama","36330-2510","334-347-0584","","","","","","1.00","","","","173.30","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"010051","GREENE COUNTY HOSPITAL","Hospital","Short Term","509 Wilson Ave","Eutaw","Alabama","35462-1064","205-372-3388","","","","","","3.00","","","","5.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"010052","LAKE MARTIN COMMUNITY HOSPITAL","Hospital","Short Term","201 Mariarden Rd","Dadeville","Alabama","36853-6244","256-825-7821","","","","","","0.00","","","","29.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"010055","FLOWERS HOSPITAL","Hospital","Short Term","4370 W Main St","Dothan","Alabama","36305-1056","334-793-5000","","","","","","0.88","","","","560.54","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"010056","ST VINCENT'S BIRMINGHAM","Hospital","Short Term","810 Saint Vincents Dr","Birmingham","Alabama","35205-1601","205-939-7000","","","","","","17.00","","","","768.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"010058","BIBB MEDICAL CENTER","Hospital","Short Term","208 Pierson Ave","Centreville","Alabama","35042-2918","205-926-4881","","","","","","3.00","","","","107.40","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"010059","LAWRENCE MEDICAL CENTER","Hospital","Short Term","202 Hospital St","Moulton","Alabama","35650-1218","256-974-2200","","","","","","5.00","","","","44.50","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
