"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","California!!Estimate","California!!Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New York!!Estimate","New York!!Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Washington!!Estimate","Washington!!Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error"
"Total:","2,016,448","±11,475","274,574","±3,261","2,850,377","±11,519","1,216,207","±8,435","13,550,586","±19,485","2,384,584","±7,807","1,433,635","±7,120","402,334","±3,985","326,970","±3,481","8,826,394","±23,013","4,092,467","±12,679","494,827","±4,463","717,151","±4,796","5,056,360","±12,532","2,726,489","±11,359","1,330,995","±5,631","1,175,294","±6,195","1,828,680","±8,263","1,816,902","±10,634","605,338","±5,032","2,375,984","±8,175","2,797,776","±8,835","4,089,794","±11,504","2,322,190","±6,929","1,148,340","±8,056","2,521,832","±11,480","464,072","±4,326","803,157","±3,991","1,198,356","±7,074","557,220","±4,834","3,516,978","±9,044","848,218","±4,975","7,774,308","±19,481","4,299,266","±15,150","331,481","±3,670","4,878,206","±13,413","1,573,180","±5,742","1,726,340","±6,662","5,294,065","±14,260","446,688","±3,663","2,136,080","±11,784","368,300","±3,163","2,846,684","±11,934","11,087,708","±20,293","1,129,660","±5,750","277,090","±3,178","3,380,607","±12,353","3,079,953","±10,236","736,341","±6,960","2,491,121","±7,766","243,321","±3,844","1,289,311","±9,077"
"    With an Internet subscription","1,767,241","±13,308","252,277","±3,581","2,600,610","±13,941","1,057,473","±10,442","12,674,005","±25,018","2,225,642","±10,480","1,321,503","±9,177","372,956","±4,372","303,989","±3,981","8,098,873","±29,044","3,734,559","±15,713","451,878","±4,903","661,102","±5,612","4,592,631","±15,532","2,459,551","±13,885","1,195,995","±6,713","1,068,917","±7,281","1,631,160","±10,032","1,553,415","±13,525","551,000","±5,716","2,196,718","±11,103","2,601,334","±12,687","3,709,260","±13,701","2,141,642","±8,040","969,008","±9,656","2,261,029","±14,103","414,800","±5,135","725,895","±4,624","1,097,824","±9,464","524,310","±4,964","3,275,033","±13,018","736,298","±7,394","7,039,243","±23,582","3,884,351","±17,991","296,800","±4,485","4,417,491","±17,759","1,396,087","±6,838","1,597,585","±7,589","4,771,626","±18,930","408,480","±4,940","1,906,413","±12,700","331,809","±3,812","2,554,409","±14,791","10,150,617","±28,039","1,059,206","±7,011","252,926","±3,912","3,077,320","±15,125","2,884,660","±12,761","638,295","±6,876","2,263,743","±10,174","218,664","±4,685","1,049,982","±11,263"
"        Dial-up with no other type of Internet subscription","4,135","±1,122","871","±446","2,536","±621","1,550","±469","13,840","±1,994","3,496","±806","1,771","±751","669","±357","459","±365","9,359","±1,613","3,253","±989","132","±150","717","±381","5,925","±987","3,635","±877","3,555","±731","1,909","±564","2,646","±887","2,115","±767","2,058","±618","2,045","±647","2,843","±829","6,880","±975","4,569","±795","1,332","±666","4,589","±966","979","±334","1,387","±577","784","±327","991","±370","4,293","±1,305","1,510","±641","10,380","±1,658","4,739","±1,077","419","±308","7,877","±1,325","1,831","±570","2,159","±635","12,281","±1,374","349","±270","2,010","±679","831","±389","3,521","±1,034","10,077","±1,653","2,002","±735","1,709","±491","5,762","±1,152","2,820","±769","1,913","±644","7,075","±1,029","934","±502","7,602","±1,450"
"        Broadband of any type","1,763,106","±13,272","251,406","±3,531","2,598,074","±13,755","1,055,923","±10,429","12,660,165","±25,382","2,222,146","±10,543","1,319,732","±9,122","372,287","±4,358","303,530","±3,905","8,089,514","±29,010","3,731,306","±15,792","451,746","±4,925","660,385","±5,653","4,586,706","±15,610","2,455,916","±13,897","1,192,440","±6,726","1,067,008","±7,329","1,628,514","±10,047","1,551,300","±13,492","548,942","±5,804","2,194,673","±11,080","2,598,491","±12,824","3,702,380","±13,834","2,137,073","±8,179","967,676","±9,613","2,256,440","±14,084","413,821","±5,173","724,508","±4,642","1,097,040","±9,526","523,319","±4,984","3,270,740","±12,942","734,788","±7,535","7,028,863","±23,600","3,879,612","±17,827","296,381","±4,500","4,409,614","±17,670","1,394,256","±6,884","1,595,426","±7,654","4,759,345","±18,954","408,131","±4,954","1,904,403","±12,780","330,978","±3,885","2,550,888","±14,715","10,140,540","±28,035","1,057,204","±7,117","251,217","±3,955","3,071,558","±14,974","2,881,840","±12,793","636,382","±6,860","2,256,668","±10,226","217,730","±4,641","1,042,380","±11,327"
"        Cellular data plan","1,639,736","±13,662","239,052","±3,863","2,395,194","±14,769","988,480","±10,055","12,035,392","±28,093","2,090,858","±11,929","1,223,079","±10,939","347,373","±4,995","281,869","±4,470","7,636,689","±31,065","3,519,943","±17,107","423,956","±5,568","618,008","±5,586","4,308,651","±17,593","2,298,774","±14,468","1,118,475","±7,446","992,943","±8,113","1,522,057","±11,108","1,469,474","±14,696","500,017","±6,166","2,055,740","±12,824","2,431,572","±14,040","3,456,962","±14,462","2,011,146","±8,912","900,910","±10,522","2,120,141","±15,214","371,785","±5,975","668,337","±5,598","1,041,654","±11,024","471,984","±5,567","3,105,778","±14,726","666,486","±7,123","6,537,149","±25,956","3,649,648","±18,150","275,642","±4,333","4,096,854","±19,208","1,299,330","±7,648","1,496,539","±8,240","4,421,399","±20,621","382,572","±6,059","1,778,905","±13,330","299,475","±4,237","2,370,245","±15,734","9,570,758","±30,111","1,017,026","±6,835","217,295","±4,011","2,895,598","±14,755","2,691,786","±12,424","567,088","±7,228","2,093,356","±11,741","196,933","±5,239","943,947","±11,149"
"            Cellular data plan with no other type of Internet subscription","282,256","±8,737","48,444","±3,497","297,060","±11,664","171,110","±6,973","1,412,210","±21,245","205,137","±7,281","143,001","±7,099","38,672","±3,705","28,023","±3,860","943,471","±18,514","417,344","±11,471","51,363","±3,467","78,145","±4,370","601,672","±11,116","373,154","±9,546","158,917","±5,135","136,800","±5,378","233,253","±8,088","274,259","±8,023","56,731","±3,659","226,569","±8,290","261,234","±8,488","518,687","±12,055","247,031","±7,936","187,149","±7,132","327,800","±10,233","52,202","±3,429","81,851","±3,958","140,535","±6,358","42,284","±3,217","356,998","±10,104","96,952","±5,488","881,426","±15,784","437,237","±12,088","31,833","±2,910","516,713","±10,291","235,096","±5,869","155,907","±7,144","580,240","±12,529","49,520","±4,434","262,047","±8,926","40,153","±3,272","342,993","±8,871","1,381,193","±23,557","86,508","±4,823","22,056","±2,500","374,891","±10,990","278,421","±9,229","83,013","±4,350","279,582","±7,350","27,535","±2,622","275,684","±8,184"
"        Broadband such as cable, fiber optic or DSL","1,377,556","±14,198","187,858","±3,862","2,169,440","±14,939","815,531","±10,376","10,729,302","±35,714","1,908,255","±12,728","1,149,082","±12,910","324,861","±5,429","269,726","±4,968","6,873,766","±31,630","3,137,631","±18,758","388,767","±5,488","526,337","±7,389","3,789,434","±18,184","1,951,983","±16,694","962,595","±8,448","875,033","±8,417","1,312,740","±13,535","1,191,652","±13,678","463,448","±6,946","1,905,988","±12,527","2,295,043","±16,202","2,998,518","±15,915","1,796,466","±9,680","708,486","±9,547","1,784,647","±14,975","322,983","±5,337","605,763","±5,700","916,496","±10,574","469,337","±5,995","2,851,134","±13,764","585,169","±7,685","5,985,223","±24,892","3,292,124","±18,446","255,369","±4,725","3,717,760","±20,513","1,069,054","±7,909","1,364,542","±11,496","4,036,964","±20,503","351,861","±6,344","1,554,690","±13,635","279,171","±4,280","2,098,767","±15,351","8,249,131","±31,261","922,253","±7,841","214,876","±4,569","2,572,271","±16,852","2,487,346","±16,441","516,404","±6,881","1,852,370","±11,087","170,312","±4,597","667,893","±9,965"
"            Broadband such as cable, fiber optic or DSL with no other type of Internet subscription","105,209","±5,415","10,067","±1,644","165,419","±7,715","54,754","±4,802","525,656","±11,403","107,549","±5,568","88,090","±5,200","22,559","±2,749","20,782","±3,009","400,389","±10,317","176,325","±6,629","24,218","±2,567","34,799","±2,853","240,284","±8,493","136,983","±6,339","62,529","±3,415","64,228","±3,918","93,235","±4,843","70,609","±5,310","42,660","±3,242","128,008","±6,723","154,977","±7,142","212,157","±6,987","110,229","±4,526","51,158","±4,475","112,400","±5,073","32,665","±2,744","48,554","±3,089","49,818","±3,689","48,224","±3,905","150,155","±6,355","51,271","±4,018","447,937","±10,629","198,314","±7,062","18,923","±2,057","274,901","±9,612","74,143","±3,444","84,000","±5,235","307,299","±8,883","23,925","±2,708","105,072","±6,114","27,641","±2,375","159,637","±7,751","483,511","±12,920","34,207","±2,652","29,239","±2,233","152,331","±6,050","161,817","±6,229","59,465","±3,352","139,813","±5,103","17,094","±2,119","87,164","±4,592"
"        Satellite Internet service","177,304","±7,255","17,777","±1,807","242,526","±8,083","97,722","±5,165","1,112,426","±16,688","182,213","±6,584","50,631","±4,618","19,584","±2,493","12,044","±2,113","513,292","±12,117","313,716","±10,309","23,187","±2,587","75,679","±4,378","350,420","±10,425","185,136","±6,698","102,331","±4,380","81,321","±4,468","122,938","±5,228","140,048","±5,730","34,430","±2,452","105,802","±5,394","89,830","±6,116","261,483","±6,983","146,097","±6,204","124,789","±6,110","204,954","±7,857","48,870","±3,552","54,364","±3,226","89,272","±4,688","19,551","±1,884","133,641","±6,692","74,702","±5,214","335,386","±11,407","272,479","±8,982","19,188","±2,536","274,341","±9,271","129,687","±4,490","114,291","±5,959","238,854","±8,532","14,730","±2,285","154,616","±6,763","20,197","±2,005","176,384","±7,257","940,383","±17,142","90,458","±4,202","18,963","±1,751","211,746","±7,729","183,322","±7,231","49,322","±3,743","170,794","±6,069","25,497","±2,774","102,911","±5,477"
"            Satellite Internet service with no other type of Internet subscription","9,616","±1,511","1,496","±361","15,006","±2,375","7,332","±1,208","55,194","±3,703","14,265","±2,131","2,102","±699","1,027","±639","139","±156","16,909","±2,479","15,985","±2,244","1,037","±493","4,926","±909","18,579","±2,246","12,191","±2,017","6,759","±1,290","6,045","±1,169","7,072","±1,333","6,038","±1,134","3,134","±585","5,794","±1,462","4,971","±1,387","19,285","±1,646","6,536","±865","8,678","±1,670","13,194","±1,654","6,067","±1,171","3,940","±754","3,287","±775","1,337","±433","3,853","±978","9,055","±1,838","15,779","±1,561","15,890","±1,952","908","±329","21,238","±2,457","10,212","±1,064","8,925","±1,704","14,234","±1,744","628","±470","13,171","±2,080","1,015","±458","12,759","±2,149","53,134","±4,258","2,642","±785","2,103","±537","14,470","±2,083","14,984","±2,319","6,046","±1,249","12,745","±1,307","2,546","±845","8,266","±1,576"
