"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","California!!Estimate","California!!Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New York!!Estimate","New York!!Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Washington!!Estimate","Washington!!Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error"
"Total:","1,967,559","±10,527","271,311","±3,313","2,817,723","±10,850","1,183,675","±7,882","13,429,063","±19,170","2,313,042","±8,099","1,428,313","±5,900","395,656","±4,126","319,565","±3,541","8,565,329","±25,039","4,001,109","±12,817","490,080","±5,054","693,882","±4,348","4,991,641","±12,428","2,680,694","±9,238","1,300,467","±6,514","1,159,026","±5,714","1,785,682","±8,799","1,783,924","±7,696","593,626","±5,251","2,355,652","±6,143","2,759,018","±9,086","4,051,798","±10,574","2,281,033","±6,734","1,129,611","±8,212","2,468,726","±10,224","448,949","±4,159","785,982","±4,212","1,191,380","±6,445","548,026","±4,691","3,497,945","±8,126","834,007","±4,770","7,652,666","±17,305","4,179,632","±15,192","322,511","±3,883","4,832,922","±10,937","1,547,967","±6,458","1,702,599","±8,524","5,228,956","±12,804","440,170","±4,169","2,049,972","±10,471","356,887","±3,371","2,770,395","±8,851","10,796,247","±19,104","1,101,499","±5,112","270,163","±3,018","3,331,461","±10,153","3,022,255","±9,423","722,201","±5,460","2,449,970","±6,685","242,763","±2,909","1,165,982","±9,161"
"    With an Internet subscription","1,679,096","±12,706","246,465","±3,895","2,580,745","±12,054","1,014,379","±10,280","12,492,698","±23,403","2,155,129","±10,794","1,318,114","±8,549","364,270","±4,231","288,292","±4,283","7,758,670","±28,518","3,603,111","±16,823","449,288","±6,037","629,922","±5,428","4,489,933","±17,598","2,399,535","±11,301","1,152,412","±8,898","1,043,141","±7,517","1,559,540","±11,034","1,525,862","±10,765","534,798","±6,279","2,165,411","±9,206","2,546,930","±11,575","3,653,282","±13,431","2,088,719","±8,818","925,714","±10,963","2,188,674","±13,481","400,500","±5,440","707,660","±5,255","1,080,358","±8,292","507,049","±4,725","3,217,143","±12,047","705,745","±7,226","6,934,305","±20,349","3,721,716","±18,255","284,336","±4,827","4,307,866","±16,270","1,361,692","±7,567","1,563,014","±10,033","4,657,501","±15,590","400,208","±5,395","1,802,642","±13,210","314,982","±3,906","2,441,855","±12,496","9,741,899","±27,158","1,031,080","±6,695","242,265","±3,726","3,024,259","±13,046","2,829,354","±11,207","615,419","±6,377","2,203,670","±10,110","219,430","±3,653","904,769","±10,124"
"        Dial-up with no other type of Internet subscription","5,926","±1,632","355","±306","4,699","±1,182","2,171","±536","15,886","±1,842","3,780","±1,055","1,782","±580","754","±519","247","±238","9,995","±1,741","3,740","±1,131","1,653","±943","2,288","±1,041","8,428","±1,197","5,089","±1,192","3,510","±715","1,846","±564","4,111","±925","2,022","±615","1,978","±558","3,206","±828","3,510","±753","6,974","±1,149","6,091","±921","1,188","±610","4,509","±890","1,922","±686","2,153","±497","1,594","±672","966","±422","3,469","±919","2,606","±973","12,854","±1,570","5,336","±975","345","±196","11,314","±1,665","2,422","±665","3,153","±800","12,678","±1,583","653","±473","3,697","±1,135","937","±399","3,959","±955","9,650","±2,373","1,331","±552","1,193","±370","4,358","±966","4,093","±935","1,842","±519","7,415","±907","195","±183","12,734","±1,740"
"        Broadband of any type","1,673,170","±12,886","246,110","±3,868","2,576,046","±12,165","1,012,208","±10,272","12,476,812","±23,412","2,151,349","±10,722","1,316,332","±8,523","363,516","±4,271","288,045","±4,321","7,748,675","±28,798","3,599,371","±16,746","447,635","±6,127","627,634","±5,343","4,481,505","±17,641","2,394,446","±11,308","1,148,902","±8,877","1,041,295","±7,435","1,555,429","±11,102","1,523,840","±10,725","532,820","±6,252","2,162,205","±9,320","2,543,420","±11,350","3,646,308","±13,416","2,082,628","±8,725","924,526","±10,896","2,184,165","±13,540","398,578","±5,670","705,507","±5,378","1,078,764","±8,351","506,083","±4,637","3,213,674","±11,785","703,139","±7,402","6,921,451","±20,126","3,716,380","±18,175","283,991","±4,850","4,296,552","±16,065","1,359,270","±7,481","1,559,861","±10,076","4,644,823","±15,685","399,555","±5,406","1,798,945","±13,258","314,045","±3,954","2,437,896","±12,755","9,732,249","±27,041","1,029,749","±6,822","241,072","±3,770","3,019,901","±13,125","2,825,261","±11,169","613,577","±6,358","2,196,255","±10,185","219,235","±3,657","892,035","±9,777"
"        Cellular data plan","1,532,724","±12,378","230,341","±4,123","2,396,152","±13,028","938,628","±10,832","11,813,100","±26,202","2,023,061","±12,441","1,208,773","±9,504","337,794","±4,732","274,368","±4,474","7,230,041","±30,392","3,356,608","±18,189","424,619","±6,354","580,940","±6,357","4,184,464","±18,501","2,219,587","±12,596","1,071,281","±9,161","967,655","±8,307","1,438,963","±12,075","1,429,141","±12,345","477,839","±6,129","1,999,149","±10,990","2,360,767","±12,288","3,360,301","±14,066","1,941,816","±9,164","854,087","±10,317","2,044,904","±13,316","360,836","±5,157","652,067","±5,783","1,002,525","±9,302","460,442","±5,367","3,036,220","±12,522","633,564","±7,702","6,401,447","±20,808","3,450,682","±18,122","264,155","±5,273","3,965,802","±16,457","1,258,012","±7,391","1,450,341","±10,807","4,251,756","±17,921","369,706","±6,298","1,669,164","±13,913","281,434","±4,373","2,276,145","±13,746","9,103,495","±32,337","970,687","±7,708","199,487","±4,222","2,838,230","±13,695","2,653,113","±11,922","542,869","±6,759","2,026,515","±10,845","197,362","±4,091","807,163","±10,745"
"            Cellular data plan with no other type of Internet subscription","283,166","±9,662","42,050","±2,895","278,612","±10,125","184,459","±6,616","1,360,227","±22,643","184,557","±6,308","136,837","±7,109","40,504","±3,352","35,167","±3,824","920,478","±20,102","412,140","±12,095","48,753","±3,802","73,680","±4,768","569,068","±13,400","344,158","±10,748","149,564","±4,929","132,455","±6,008","224,544","±8,092","245,389","±7,951","47,821","±3,340","208,156","±6,497","244,961","±8,882","491,923","±10,704","221,574","±7,001","195,070","±8,043","306,857","±7,884","55,233","±4,372","86,407","±5,085","120,852","±5,335","40,781","±2,895","331,157","±11,918","91,454","±5,731","818,394","±17,306","397,808","±11,742","31,304","±3,622","477,030","±11,472","239,013","±7,546","161,187","±7,182","535,430","±10,046","49,909","±4,041","233,154","±8,814","36,497","±2,630","341,415","±11,418","1,329,753","±22,542","91,672","±5,377","21,368","±2,524","367,161","±9,910","261,275","±8,836","73,820","±4,964","260,689","±7,351","23,908","±2,215","247,493","±8,085"
"        Broadband such as cable, fiber optic or DSL","1,282,882","±15,778","193,918","±4,649","2,181,459","±12,738","754,230","±9,721","10,614,189","±29,406","1,861,025","±10,830","1,153,170","±9,980","313,238","±4,699","245,541","±5,527","6,577,436","±33,856","3,036,850","±20,911","388,053","±6,551","501,546","±7,983","3,726,346","±18,756","1,913,305","±14,152","932,946","±10,421","850,386","±7,839","1,253,318","±13,645","1,200,581","±11,648","461,934","±6,972","1,897,605","±11,002","2,263,961","±14,430","2,972,099","±16,263","1,769,966","±9,892","652,429","±11,166","1,740,790","±13,402","309,146","±6,778","579,813","±6,889","920,940","±9,303","455,072","±5,001","2,816,274","±17,316","563,273","±8,182","5,949,831","±24,293","3,175,818","±19,614","245,320","±4,733","3,646,919","±16,778","1,022,553","±9,587","1,320,165","±13,124","3,966,764","±18,937","343,546","±5,823","1,484,086","±14,762","264,074","±4,801","1,993,810","±14,243","7,897,097","±31,314","887,237","±7,298","207,196","±3,758","2,523,749","±13,797","2,452,415","±14,136","506,383","±7,889","1,812,565","±10,429","169,649","±4,596","554,824","±9,495"
"            Broadband such as cable, fiber optic or DSL with no other type of Internet subscription","114,866","±5,476","13,489","±1,860","153,507","±7,243","59,991","±4,506","571,397","±12,151","108,789","±5,867","101,109","±4,878","24,016","±2,526","11,942","±2,464","461,183","±12,136","208,481","±9,175","21,522","±2,304","38,349","±4,001","258,773","±6,501","150,137","±5,978","67,009","±3,526","65,167","±4,260","102,280","±5,667","81,600","±5,660","48,260","±2,940","150,250","±6,780","173,812","±8,276","249,071","±7,376","122,910","±4,790","50,283","±4,425","115,410","±5,468","30,820","±3,260","45,051","±2,764","69,545","±4,795","41,917","±2,837","164,105","±6,036","49,996","±4,224","476,117","±10,822","226,664","±9,231","18,000","±1,818","290,468","±7,749","78,564","±3,764","91,539","±5,450","356,249","±10,525","28,044","±2,672","105,765","±5,520","29,980","±2,654","141,083","±5,827","529,305","±15,301","48,463","±3,724","37,619","±2,848","158,140","±6,347","145,896","±5,270","61,263","±4,014","144,814","±4,908","18,458","±2,451","75,286","±4,069"
"        Satellite Internet service","177,405","±6,535","15,306","±2,217","226,038","±7,025","100,019","±5,378","1,067,465","±17,444","178,864","±7,245","45,372","±3,641","17,802","±2,159","12,740","±1,951","505,714","±13,021","292,262","±8,701","23,589","±2,244","74,290","±3,762","342,858","±9,325","206,464","±8,380","101,192","±5,231","84,878","±3,996","122,484","±5,046","146,358","±6,724","27,427","±2,277","116,882","±6,555","77,418","±4,153","263,729","±7,100","138,405","±4,862","120,059","±5,941","208,860","±7,694","42,376","±3,334","56,290","±3,277","88,728","±4,645","16,595","±1,626","137,752","±6,241","75,892","±5,120","323,250","±10,262","255,743","±8,226","15,583","±2,222","288,862","±7,472","131,157","±4,320","115,844","±6,032","241,283","±9,458","13,835","±2,203","158,422","±7,566","21,313","±2,267","171,070","±7,895","941,102","±21,209","91,719","±4,469","14,108","±1,749","201,371","±7,636","172,888","±7,500","49,585","±3,177","172,331","±5,675","27,432","±3,047","110,488","±5,291"
"            Satellite Internet service with no other type of Internet subscription","12,608","±2,060","1,035","±543","14,400","±1,684","7,778","±1,392","48,421","±3,972","11,011","±1,648","1,677","±673","479","±239","189","±295","24,326","±2,738","19,088","±3,001","749","±453","6,039","±1,470","19,495","±1,972","13,825","±1,903","5,983","±869","4,841","±1,086","7,834","±1,188","7,285","±1,305","3,488","±710","4,100","±1,055","2,488","±618","22,139","±1,858","9,128","±1,295","11,100","±2,111","14,204","±1,634","4,477","±955","4,141","±948","2,509","±727","1,755","±673","4,541","±1,074","6,944","±1,372","18,644","±1,932","19,008","±2,241","967","±416","22,666","±2,050","14,168","±1,429","10,663","±1,929","16,581","±2,204","898","±523","15,926","±2,180","1,218","±455","11,427","±1,647","61,100","±5,872","5,409","±1,228","1,817","±558","14,396","±1,625","15,953","±2,208","6,704","±1,298","13,718","±1,462","2,181","±732","7,176","±1,394"
