"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","California!!Estimate","California!!Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New York!!Estimate","New York!!Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Washington!!Estimate","Washington!!Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error"
"Total:","1,967,559","±10,527","271,311","±3,313","2,817,723","±10,850","1,183,675","±7,882","13,429,063","±19,170","2,313,042","±8,099","1,428,313","±5,900","395,656","±4,126","319,565","±3,541","8,565,329","±25,039","4,001,109","±12,817","490,080","±5,054","693,882","±4,348","4,991,641","±12,428","2,680,694","±9,238","1,300,467","±6,514","1,159,026","±5,714","1,785,682","±8,799","1,783,924","±7,696","593,626","±5,251","2,355,652","±6,143","2,759,018","±9,086","4,051,798","±10,574","2,281,033","±6,734","1,129,611","±8,212","2,468,726","±10,224","448,949","±4,159","785,982","±4,212","1,191,380","±6,445","548,026","±4,691","3,497,945","±8,126","834,007","±4,770","7,652,666","±17,305","4,179,632","±15,192","322,511","±3,883","4,832,922","±10,937","1,547,967","±6,458","1,702,599","±8,524","5,228,956","±12,804","440,170","±4,169","2,049,972","±10,471","356,887","±3,371","2,770,395","±8,851","10,796,247","±19,104","1,101,499","±5,112","270,163","±3,018","3,331,461","±10,153","3,022,255","±9,423","722,201","±5,460","2,449,970","±6,685","242,763","±2,909","1,165,982","±9,161"
"    Owner occupied:","1,377,932","±12,342","181,145","±3,790","1,905,690","±14,256","793,038","±9,392","7,502,706","±28,590","1,546,233","±12,044","951,516","±9,355","287,111","±5,513","132,936","±4,071","5,772,329","±30,900","2,642,126","±20,935","306,653","±6,699","498,872","±7,387","3,370,654","±19,529","1,905,849","±13,015","935,111","±9,676","776,740","±8,683","1,225,996","±12,463","1,200,910","±11,783","444,231","±5,856","1,597,663","±11,011","1,742,436","±12,565","2,966,347","±14,453","1,665,101","±11,511","787,068","±9,871","1,698,595","±14,258","311,861","±5,221","532,582","±5,988","704,548","±8,320","397,225","±5,983","2,252,974","±15,472","579,708","±8,803","4,239,037","±23,273","2,794,211","±16,553","203,549","±5,171","3,246,486","±19,196","1,013,837","±7,604","1,086,030","±10,492","3,657,478","±16,907","278,449","±6,180","1,471,296","±13,675","247,630","±4,277","1,869,046","±15,265","6,761,002","±34,434","768,062","±8,177","196,291","±3,522","2,252,170","±16,884","1,933,901","±14,745","542,805","±6,932","1,668,575","±11,831","173,247","±4,358","800,555","±10,264"
"        No vehicle available","33,987","±2,737","11,512","±1,217","46,430","±3,593","20,776","±2,827","209,333","±6,143","32,886","±2,806","27,701","±2,801","7,136","±1,363","20,450","±2,303","180,734","±7,911","60,937","±4,105","12,539","±1,867","11,692","±1,944","130,313","±6,174","50,652","±4,028","19,955","±1,978","14,140","±1,930","36,618","±2,828","47,224","±3,857","11,257","±1,678","46,325","±3,390","63,141","±4,029","92,312","±4,125","33,940","±2,894","25,195","±3,142","44,593","±3,067","5,899","±998","10,049","±1,378","16,326","±1,983","6,110","±1,056","85,996","±5,349","17,960","±2,097","409,740","±11,842","69,813","±4,324","3,488","±870","100,177","±4,472","23,710","±1,967","26,006","±2,738","165,590","±5,788","7,530","±1,484","39,739","±2,918","5,191","±961","39,999","±3,291","140,937","±7,172","13,668","±1,799","4,347","±995","56,354","±3,545","41,929","±3,144","19,785","±2,416","39,539","±2,822","3,397","±900","80,507","±3,937"
"        1 vehicle available","331,648","±8,900","45,100","±3,085","521,545","±10,217","192,040","±6,322","1,692,622","±23,340","347,365","±9,656","242,293","±7,673","81,645","±4,866","71,548","±3,814","1,966,025","±22,380","623,638","±15,957","84,370","±4,735","88,314","±4,953","996,770","±13,481","455,239","±10,878","209,940","±6,811","169,570","±5,992","295,275","±7,458","354,665","±9,784","118,587","±4,577","416,333","±8,493","498,213","±11,084","837,689","±13,275","390,678","±8,179","194,625","±6,958","416,622","±9,673","60,601","±3,967","114,697","±4,849","194,485","±6,302","92,008","±4,413","630,108","±11,624","149,419","±6,227","1,399,085","±17,814","649,115","±13,480","36,586","±2,641","832,406","±12,775","245,845","±5,931","261,012","±7,104","1,033,914","±14,339","76,485","±4,573","383,842","±11,358","44,777","±2,920","430,565","±9,336","1,523,152","±25,359","132,034","±6,619","53,145","±2,881","515,326","±12,758","438,262","±12,259","156,170","±4,981","402,512","±7,648","32,614","±3,196","296,805","±8,850"
"        2 vehicles available","551,753","±11,603","72,493","±4,228","803,715","±13,379","338,387","±8,654","3,014,656","±25,551","668,196","±12,696","423,246","±8,387","128,279","±4,717","32,205","±2,518","2,444,055","±24,620","1,130,946","±18,210","116,464","±5,286","202,790","±7,252","1,440,395","±14,588","830,124","±12,675","400,672","±7,356","331,955","±7,327","522,963","±11,677","528,933","±12,647","206,070","±6,703","673,454","±10,838","769,380","±11,819","1,309,531","±15,699","758,090","±11,287","328,143","±9,123","728,365","±11,653","124,699","±5,317","227,171","±5,889","284,059","±7,673","183,033","±6,378","957,681","±13,488","226,714","±7,949","1,598,468","±16,408","1,173,534","±15,397","86,563","±4,543","1,422,801","±18,694","438,227","±7,688","463,813","±8,780","1,568,485","±14,784","125,487","±5,962","623,259","±11,059","101,114","±4,627","783,228","±13,901","3,074,796","±31,183","313,193","±7,068","92,942","±3,411","929,366","±15,533","787,721","±12,646","222,610","±6,526","766,933","±9,981","69,214","±3,991","275,938","±7,835"
"        3 vehicles available","296,259","±9,026","32,608","±2,463","345,240","±9,196","163,170","±7,273","1,571,732","±19,920","324,303","±8,664","176,989","±6,392","48,896","±3,886","6,954","±1,279","840,394","±17,141","538,307","±15,278","54,796","±3,443","116,336","±5,274","560,431","±11,651","374,611","±8,562","199,501","±6,558","168,043","±5,522","242,066","±7,360","191,904","±8,423","74,423","±4,265","302,326","±8,391","278,441","±7,457","492,641","±9,798","324,539","±6,748","162,007","±7,913","338,689","±7,325","75,820","±4,886","114,386","±4,220","136,275","±6,193","76,506","±4,073","392,100","±9,545","122,318","±5,939","571,300","±12,225","587,098","±14,365","44,874","±3,126","590,760","±13,023","200,516","±4,534","217,979","±6,310","606,210","±12,276","47,046","±3,514","284,792","±8,758","59,460","±3,785","395,948","±10,235","1,378,608","±23,428","180,813","±7,318","32,459","±2,194","478,495","±8,963","417,936","±8,977","98,996","±5,000","314,333","±5,863","39,477","±2,955","106,851","±5,025"
"        4 vehicles available","113,626","±6,261","12,861","±1,722","133,612","±5,918","54,637","±3,771","670,115","±13,087","112,827","±5,824","57,518","±3,658","15,559","±2,210","1,173","±621","252,114","±8,405","200,953","±10,361","23,263","±2,271","49,195","±4,009","180,116","±6,780","132,010","±5,653","70,943","±4,019","60,656","±3,533","90,627","±4,667","58,616","±4,275","24,325","±2,577","109,385","±5,104","95,514","±5,450","162,496","±5,618","105,363","±4,861","54,555","±4,633","115,044","±5,274","28,811","±2,311","44,289","±2,782","52,475","±4,195","29,002","±2,699","141,202","±6,279","40,759","±3,852","188,287","±6,881","216,134","±8,191","20,448","±2,167","208,102","±7,806","73,240","±3,488","79,411","±5,224","199,468","±7,523","16,877","±2,239","98,937","±5,376","23,297","±1,969","148,211","±5,240","469,220","±14,790","84,776","±4,143","9,674","±1,575","179,817","±6,553","157,784","±6,338","33,209","±2,772","102,014","±3,686","17,171","±2,225","30,115","±3,384"
"        5 or more vehicles available","50,659","±3,594","6,571","±1,447","55,148","±4,063","24,028","±2,643","344,248","±10,314","60,656","±4,072","23,769","±2,403","5,596","±1,266","606","±483","89,007","±4,712","87,345","±6,950","15,221","±2,004","30,545","±3,188","62,629","±3,745","63,213","±4,265","34,100","±2,529","32,376","±2,323","38,447","±3,797","19,568","±2,509","9,569","±1,511","49,840","±3,509","37,747","±3,506","71,678","±3,408","52,491","±2,965","22,543","±3,409","55,282","±4,063","16,031","±1,970","21,990","±2,080","20,928","±2,314","10,566","±1,854","45,887","±3,661","22,538","±2,638","72,157","±4,724","98,517","±5,054","11,590","±1,830","92,240","±4,984","32,299","±2,418","37,809","±3,376","83,811","±4,607","5,024","±1,253","40,727","±3,474","13,791","±1,680","71,095","±5,136","174,289","±9,229","43,578","±3,351","3,724","±776","92,812","±5,129","90,269","±4,694","12,035","±2,179","43,244","±2,991","11,374","±1,683","10,339","±1,863"
"    Renter occupied:","589,627","±11,032","90,166","±3,901","912,033","±14,327","390,637","±7,678","5,926,357","±26,707","766,809","±10,883","476,797","±9,909","108,545","±5,060","186,629","±4,176","2,793,000","±27,337","1,358,983","±19,558","183,427","±6,477","195,010","±6,802","1,620,987","±19,271","774,845","±12,019","365,356","±7,963","382,286","±7,535","559,686","±10,315","583,014","±11,725","149,395","±5,206","757,989","±11,113","1,016,582","±11,698","1,085,451","±13,506","615,932","±10,686","342,543","±8,388","770,131","±13,815","137,088","±4,642","253,400","±5,113","486,832","±9,282","150,801","±5,702","1,244,971","±14,211","254,299","±8,808","3,413,629","±24,555","1,385,421","±16,214","118,962","±5,060","1,586,436","±17,987","534,130","±8,074","616,569","±10,078","1,571,478","±16,774","161,721","±5,443","578,676","±11,940","109,257","±3,804","901,349","±15,149","4,035,245","±32,249","333,437","±7,466","73,872","±3,285","1,079,291","±14,934","1,088,354","±14,791","179,396","±5,876","781,395","±12,020","69,516","±3,680","365,427","±8,509"
"        No vehicle available","60,045","±4,604","13,678","±2,008","94,966","±6,030","46,411","±3,739","702,094","±14,805","81,903","±5,241","92,491","±5,461","18,616","±2,490","94,557","±4,806","323,649","±11,878","151,394","±8,081","28,182","±2,920","15,414","±2,077","390,518","±9,540","99,326","±5,864","52,279","±3,957","45,554","±3,801","81,548","±4,747","103,327","±6,403","28,783","±2,763","146,677","±7,664","260,822","±7,291","179,916","±6,621","112,247","±5,533","45,740","±4,084","110,545","±6,243","10,979","±1,675","30,980","±2,780","67,193","±4,329","17,549","±1,976","306,306","±9,353","32,524","±3,578","1,741,720","±20,884","153,911","±8,117","12,526","±1,936","243,046","±8,192","60,648","±3,690","86,957","±4,621","357,679","±8,151","29,801","±2,957","67,681","±4,676","13,808","±1,821","94,695","±7,055","415,852","±13,500","28,576","±3,231","10,284","±1,777","145,318","±7,011","159,015","±7,170","35,388","±3,393","109,262","±4,971","6,057","±1,354","76,199","±3,697"
